time_h,Tin_degC,Tout_degC,Tpipe_mid_degC,Tundist_pipe_degC,Q_W,q_l_W_m,R_fluid_wall_K_m_W,R_fluid_far_K_m_W
61.6666666666667,33.27,32.0957391749051,31.2065442877242,28.2100000000259,1937.34247967459,41.2200527590338,0.0358157062136402,0.108511981136326
61.8333333333333,33.27,32.0963143919066,31.2075712828313,28.2100000000259,1936.39346365675,41.1998609288669,0.0358153129611198,0.108572143086854
62,33.27,32.0968876885157,31.2085948298144,28.2100000000259,1935.44761597926,41.1797365101971,0.0358149211100045,0.108632162887303
62.1666666666667,33.27,32.0974590760931,31.2096149491594,28.2100000000259,1934.50491789853,41.159679104224,0.0358145306515731,0.108692041225402
62.3333333333333,33.27,32.0980285659043,31.2106316611798,28.2100000000259,1933.56535082847,41.1396883154993,0.0358141415771788,0.108751778783911
62.5,33.27,32.0985961691201,31.2116449860181,28.2100000000259,1932.62889633893,41.1197637518922,0.0358137538782473,0.108811376240658
62.6666666666667,33.27,32.099161896818,31.2126549436475,28.2100000000259,1931.69553615373,41.0999050245475,0.035813367546284,0.10887083426861
62.8333333333333,33.27,32.0997257599832,31.2136615538743,28.2100000000259,1930.7652521494,41.0801117478596,0.0358129825728616,0.108930153535885
63,33.27,32.100287769509,31.2146648363389,28.2100000000259,1929.8380263533,41.0603835394318,0.0358125989496284,0.108989334705822
63.1666666666667,33.27,32.1008479361986,31.2156648105183,28.2100000000259,1928.91384094213,41.0407200200454,0.0358122166683026,0.109048378437012
63.3333333333333,33.27,32.1014062707656,31.2166614957274,28.2100000000259,1927.9926782401,41.0211208136191,0.0358118357206784,0.109107285383361
63.5,33.27,32.1019627838349,31.2176549111207,28.2100000000259,1927.0745207179,41.0015855471895,0.0358114560986129,0.109166056194096
63.6666666666667,33.27,32.1025174859437,31.2186450756944,28.2100000000259,1926.15935099064,40.9821138508647,0.0358110777940374,0.109224691513844
63.8333333333333,33.27,32.1030703875427,31.2196320082876,28.2100000000259,1925.24715181664,40.9627053578008,0.0358107007989486,0.109283191982653
64,33.27,32.1036214989965,31.2206157275842,28.2100000000259,1924.33790609561,40.943359704162,0.0358103251054167,0.109341558236054
64.1666666666667,33.27,32.104170830585,31.2215962521143,28.2100000000259,1923.43159686768,40.9240765290995,0.0358099507055731,0.10939979090507
64.3333333333333,33.27,32.1047183925039,31.2225736002564,28.2100000000259,1922.52820731133,40.9048554747091,0.0358095775916203,0.109457890616295
64.5,33.27,32.1052641948659,31.223547790238,28.2100000000259,1921.62772074247,40.8856961860099,0.0358092057558241,0.1095158579919
64.6666666666667,33.27,32.1058082477012,31.2245188401382,28.2100000000259,1920.73012061272,40.8665983109089,0.035808835190516,0.109573693649695
64.8333333333333,33.27,32.1063505609586,31.2254867678886,28.2100000000259,1919.83539050808,40.8475615001718,0.0358084658880923,0.109631398203159
65,33.27,32.1068911445065,31.2264515912751,28.2100000000259,1918.94351414746,40.8285854073928,0.0358080978410148,0.109688972261488
65.1666666666667,33.27,32.1074300081332,31.2274133279391,28.2100000000259,1918.05447538156,40.8096696889694,0.0358077310418051,0.109746416429615
65.3333333333333,33.27,32.1079671615483,31.2283719953794,28.2100000000259,1917.16825819115,40.7908140040671,0.0358073654830504,0.109803731308271
65.5,33.27,32.1085026143832,31.2293276109534,28.2100000000259,1916.28484668609,40.7720180145976,0.0358070011573978,0.109860917494002
65.6666666666667,33.27,32.1090363761919,31.2302801918788,28.2100000000259,1915.40422510362,40.7532813851833,0.0358066380575586,0.109917975579229
65.8333333333333,33.27,32.1095684564518,31.2312297552347,28.2100000000259,1914.52637780753,40.7346037831389,0.0358062761763007,0.109974906152255
66,33.27,32.1100988645648,31.2321763179631,28.2100000000259,1913.65128928649,40.715984878436,0.0358059155064533,0.110031709797328
66.1666666666667,33.27,32.1106276098574,31.2331198968706,28.2100000000259,1912.77894415281,40.6974243436768,0.0358055560409089,0.110088387094672
66.3333333333333,33.27,32.1111547015823,31.2340605086294,28.2100000000259,1911.90932714147,40.6789218540739,0.0358051977726128,0.110144938620503
66.5,33.27,32.1116801489183,31.2349981697789,28.2100000000259,1911.04242310858,40.6604770874167,0.0358048406945721,0.110201364947091
66.6666666666667,33.27,32.1122039609719,31.2359328967271,28.2100000000259,1910.17821703018,40.6420897240463,0.0358044847998527,0.110257666642784
66.8333333333333,33.27,32.1127261467771,31.2368647057515,28.2100000000259,1909.31669400125,40.6237594468352,0.0358041300815731,0.110313844272031
67,33.27,32.1132467152971,31.2377936130011,28.2100000000259,1908.45783923427,40.6054859411547,0.0358037765329128,0.110369898395438
67.1666666666667,33.27,32.1137656754241,31.238719634497,28.2100000000259,1907.60163805824,40.5872688948562,0.0358034241471031,0.110425829569778
67.3333333333333,33.27,32.1142830359809,31.2396427861342,28.2100000000259,1906.74807591724,40.569107998239,0.0358030729174348,0.110481638348053
67.5,33.27,32.1147988057208,31.2405630836826,28.2100000000259,1905.89713836965,40.5510029440352,0.0358027228372488,0.110537325279492
67.6666666666667,33.27,32.1153129933287,31.2414805427884,28.2100000000259,1905.04881108661,40.5329534273746,0.0358023738999454,0.110592890909622
67.8333333333333,33.27,32.1158256074218,31.2423951789751,28.2100000000259,1904.20307985119,40.51495914577,0.0358020260989751,0.110648335780268
